Date,Ticker,Close
2022-01-01,AAPL,98.2
2022-01-02,AAPL,98.62
2022-01-03,AAPL,97.45
2022-01-04,AAPL,97.57
2022-01-05,AAPL,98.79
2022-01-06,AAPL,97.43
2022-01-07,AAPL,96.79
2022-01-08,AAPL,95.76
2022-01-09,AAPL,94.27
2022-01-10,AAPL,92.62
2022-01-11,AAPL,92.73
2022-01-12,AAPL,93.43
2022-01-13,AAPL,93.9
2022-01-14,AAPL,94.42
2022-01-15,AAPL,92.77
2022-01-16,AAPL,94.2
2022-01-17,AAPL,94.25
2022-01-18,AAPL,93.8
2022-01-19,AAPL,94.11
2022-01-20,AAPL,95.59
2022-01-21,AAPL,97.13
2022-01-22,AAPL,96.82
2022-01-23,AAPL,96.7
2022-01-24,AAPL,95.81
2022-01-25,AAPL,96.22
2022-01-26,AAPL,95.94
2022-01-27,AAPL,95.08
2022-01-28,AAPL,95.85
2022-01-29,AAPL,94.98
2022-01-30,AAPL,96.03
2022-01-31,AAPL,97.17
2022-02-01,AAPL,96.77
2022-02-02,AAPL,95.47
2022-02-03,AAPL,95.31
2022-02-04,AAPL,95.04
2022-02-05,AAPL,94.52
2022-02-06,AAPL,94.81
2022-02-07,AAPL,93.4
2022-02-08,AAPL,92.79
2022-02-09,AAPL,92.6
2022-02-10,AAPL,93.52
2022-02-11,AAPL,92.02
2022-02-12,AAPL,92.05
2022-02-13,AAPL,93.42
2022-02-14,AAPL,92.22
2022-02-15,AAPL,93.74
2022-02-16,AAPL,93.52
2022-02-17,AAPL,94.61
2022-02-18,AAPL,92.62
2022-02-19,AAPL,91.41
2022-02-20,AAPL,91.71
2022-02-21,AAPL,92.91
2022-02-22,AAPL,91.87
2022-02-23,AAPL,91.67
2022-02-24,AAPL,92.09
2022-02-25,AAPL,91.03
2022-02-26,AAPL,91.82
2022-02-27,AAPL,91.4
2022-02-28,AAPL,91.02
2022-03-01,AAPL,92.88
2022-03-02,AAPL,91.98
2022-03-03,AAPL,93.1
2022-03-04,AAPL,91.82
2022-03-05,AAPL,90.5
2022-03-06,AAPL,89.0
2022-03-07,AAPL,89.49
2022-03-08,AAPL,89.64
2022-03-09,AAPL,88.41
2022-03-10,AAPL,87.91
2022-03-11,AAPL,87.79
2022-03-12,AAPL,87.07
2022-03-13,AAPL,86.15
2022-03-14,AAPL,85.74
2022-03-15,AAPL,85.72
2022-03-16,AAPL,86.19
2022-03-17,AAPL,86.66
2022-03-18,AAPL,87.85
2022-03-19,AAPL,88.13
2022-03-20,AAPL,88.28
2022-03-21,AAPL,89.0
2022-03-22,AAPL,90.08
2022-03-23,AAPL,88.74
2022-03-24,AAPL,89.18
2022-03-25,AAPL,89.05
2022-03-26,AAPL,90.49
2022-03-27,AAPL,90.08
2022-03-28,AAPL,88.27
2022-03-29,AAPL,88.82
2022-03-30,AAPL,88.6
2022-03-31,AAPL,87.62
2022-04-01,AAPL,88.96
2022-04-02,AAPL,89.0
2022-04-03,AAPL,90.89
2022-04-04,AAPL,90.51
2022-04-05,AAPL,90.87
2022-04-06,AAPL,91.55
2022-04-07,AAPL,92.96
2022-04-08,AAPL,91.69
2022-04-09,AAPL,91.3
2022-04-10,AAPL,91.85
2022-04-11,AAPL,93.56
2022-04-12,AAPL,93.03
2022-04-13,AAPL,94.32
2022-04-14,AAPL,95.53
2022-04-15,AAPL,97.11
2022-04-16,AAPL,95.81
2022-04-17,AAPL,97.76
2022-04-18,AAPL,96.16
2022-04-19,AAPL,94.54
2022-04-20,AAPL,93.39
2022-04-21,AAPL,93.43
2022-04-22,AAPL,92.89
2022-04-23,AAPL,94.35
2022-04-24,AAPL,96.31
2022-04-25,AAPL,95.04
2022-04-26,AAPL,96.56
2022-04-27,AAPL,96.23
2022-04-28,AAPL,94.87
2022-04-29,AAPL,96.54
2022-04-30,AAPL,96.68
2022-05-01,AAPL,94.7
2022-05-02,AAPL,95.71
2022-05-03,AAPL,94.29
2022-05-04,AAPL,93.23
2022-05-05,AAPL,94.6
2022-05-06,AAPL,93.0
2022-05-07,AAPL,93.54
2022-05-08,AAPL,92.1
2022-05-09,AAPL,90.29
2022-05-10,AAPL,92.13
2022-05-11,AAPL,93.69
2022-05-12,AAPL,95.65
2022-05-13,AAPL,95.66
2022-05-14,AAPL,94.63
2022-05-15,AAPL,95.29
2022-05-16,AAPL,96.5
2022-05-17,AAPL,98.22
2022-05-18,AAPL,97.1
2022-05-19,AAPL,98.47
2022-05-20,AAPL,96.72
2022-05-21,AAPL,98.5
2022-05-22,AAPL,98.78
2022-05-23,AAPL,98.09
2022-05-24,AAPL,97.11
2022-05-25,AAPL,95.82
2022-05-26,AAPL,95.34
2022-05-27,AAPL,94.58
2022-05-28,AAPL,96.24
2022-05-29,AAPL,95.54
2022-05-30,AAPL,95.28
2022-05-31,AAPL,95.34
2022-06-01,AAPL,93.81
2022-06-02,AAPL,92.56
2022-06-03,AAPL,93.89
2022-06-04,AAPL,92.44
2022-06-05,AAPL,94.13
2022-06-06,AAPL,94.95
2022-06-07,AAPL,95.9
2022-06-08,AAPL,95.29
2022-06-09,AAPL,94.92
2022-06-10,AAPL,93.39
2022-06-11,AAPL,92.4
2022-06-12,AAPL,93.14
2022-06-13,AAPL,94.09
2022-06-14,AAPL,92.79
2022-06-15,AAPL,92.06
2022-06-16,AAPL,91.92
2022-06-17,AAPL,92.86
2022-06-18,AAPL,93.52
2022-06-19,AAPL,94.97
2022-06-20,AAPL,95.14
2022-06-21,AAPL,94.87
2022-06-22,AAPL,94.68
2022-06-23,AAPL,94.67
2022-06-24,AAPL,92.84
2022-06-25,AAPL,94.47
2022-06-26,AAPL,92.75
2022-06-27,AAPL,91.26
2022-06-28,AAPL,90.02
2022-06-29,AAPL,91.29
2022-06-30,AAPL,90.75
2022-07-01,AAPL,90.07
2022-07-02,AAPL,91.29
2022-07-03,AAPL,89.82
2022-07-04,AAPL,88.2
2022-07-05,AAPL,87.51
2022-07-06,AAPL,85.97
2022-07-07,AAPL,86.49
2022-07-08,AAPL,86.07
2022-07-09,AAPL,86.32
2022-07-10,AAPL,85.61
2022-07-11,AAPL,85.0
2022-07-12,AAPL,86.53
2022-07-13,AAPL,84.6
2022-07-14,AAPL,83.3
2022-07-15,AAPL,82.16
2022-07-16,AAPL,80.96
2022-07-17,AAPL,79.3
2022-07-18,AAPL,78.41
2022-07-19,AAPL,79.62
2022-07-20,AAPL,78.44
2022-07-21,AAPL,79.88
2022-07-22,AAPL,81.76
2022-07-23,AAPL,82.3
2022-07-24,AAPL,83.28
2022-07-25,AAPL,82.53
2022-07-26,AAPL,81.52
2022-07-27,AAPL,80.4
2022-07-28,AAPL,80.81
2022-07-29,AAPL,80.25
2022-07-30,AAPL,78.49
2022-07-31,AAPL,78.41
2022-08-01,AAPL,78.48
2022-08-02,AAPL,80.03
2022-08-03,AAPL,79.01
2022-08-04,AAPL,80.96
2022-08-05,AAPL,79.81
2022-08-06,AAPL,78.4
2022-08-07,AAPL,77.3
2022-08-08,AAPL,76.3
2022-08-09,AAPL,77.48
2022-08-10,AAPL,79.25
2022-08-11,AAPL,80.21
2022-08-12,AAPL,81.3
2022-08-13,AAPL,81.31
2022-08-14,AAPL,81.52
2022-08-15,AAPL,83.15
2022-08-16,AAPL,83.61
2022-08-17,AAPL,82.36
2022-08-18,AAPL,81.53
2022-08-19,AAPL,80.1
2022-08-20,AAPL,80.45
2022-08-21,AAPL,79.58
2022-08-22,AAPL,78.51
2022-08-23,AAPL,76.69
2022-08-24,AAPL,77.68
2022-08-25,AAPL,77.83
2022-08-26,AAPL,78.36
2022-08-27,AAPL,80.32
2022-08-28,AAPL,79.18
2022-08-29,AAPL,77.6
2022-08-30,AAPL,75.78
2022-08-31,AAPL,77.5
2022-09-01,AAPL,75.59
2022-09-02,AAPL,75.99
2022-09-03,AAPL,76.42
2022-09-04,AAPL,78.19
2022-09-05,AAPL,76.28
2022-09-06,AAPL,77.68
2022-09-07,AAPL,76.98
2022-09-08,AAPL,77.75
2022-09-09,AAPL,76.56
2022-09-10,AAPL,77.2
2022-09-11,AAPL,78.97
2022-09-12,AAPL,77.85
2022-09-13,AAPL,78.36
